id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
100,32,JAWA BARAT,3271,KOTA BOGOR,1,KEJADIAN,2015
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2015
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2015
103,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2015
104,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2015
105,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2015
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2015
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KEJADIAN,2015
108,32,JAWA BARAT,3279,KOTA BANJAR,3,KEJADIAN,2015
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,47,KEJADIAN,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53,KEJADIAN,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12,KEJADIAN,2016
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,31,KEJADIAN,2016
113,32,JAWA BARAT,3205,KABUPATEN GARUT,21,KEJADIAN,2016
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,61,KEJADIAN,2016
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24,KEJADIAN,2016
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,73,KEJADIAN,2016
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KEJADIAN,2016
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25,KEJADIAN,2016
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,28,KEJADIAN,2016
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2016
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2016
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,KEJADIAN,2016
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,KEJADIAN,2016
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2016
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22,KEJADIAN,2016
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,KEJADIAN,2016
127,32,JAWA BARAT,3271,KOTA BOGOR,18,KEJADIAN,2016
128,32,JAWA BARAT,3272,KOTA SUKABUMI,5,KEJADIAN,2016
129,32,JAWA BARAT,3273,KOTA BANDUNG,3,KEJADIAN,2016
